keyword	updateTime	price
柴胡	2023-03-06	85.000
柴胡	2023-03-07	85.000
柴胡	2023-03-08	100.000
柴胡	2023-03-09	100.000
柴胡	2023-03-10	100.000
柴胡	2023-03-11	100.000
柴胡	2023-03-12	100.000
柴胡	2023-03-13	100.000
柴胡	2023-03-14	100.000
柴胡	2023-03-15	105.000
柴胡	2023-03-16	105.000
柴胡	2023-03-17	105.000
柴胡	2023-03-18	105.000
柴胡	2023-03-19	105.000
柴胡	2023-03-20	105.000
柴胡	2023-03-21	105.000
柴胡	2023-03-22	105.000
柴胡	2023-03-23	105.000
柴胡	2023-03-24	105.000
柴胡	2023-03-25	105.000
柴胡	2023-03-26	105.000
柴胡	2023-03-27	105.000
柴胡	2023-03-28	105.000
柴胡	2023-03-29	105.000
柴胡	2023-03-30	105.000
柴胡	2023-03-31	105.000
柴胡	2023-04-01	105.000
柴胡	2023-04-02	105.000
柴胡	2023-04-03	105.000
柴胡	2023-04-04	105.000
